geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-003352,2014,ELSXV,0,,,,,1,,
NIG-003353,2014,EKDOK,1,,,,,1,,
NIG-003354,2014,BGWFS,1,,,,,1,,
NIG-003355,2014,EDWTM,1,,,,,1,,
NIG-003356,2014,EJZVK,0,,,,,0,,
NIG-003357,2014,EVFJZ,1,,,,,1,,
NIG-003358,2014,EZZDX,1,,,,,1,,
NIG-003359,2014,EQFUA,0,,,,,1,,
NIG-003360,2014,EPBWF,0,,,,,1,,
NIG-003361,2014,EVJRV,1,,,,,1,,
NIG-003362,2014,EXWPW,1,,,,,1,,
NIG-003363,2014,EPMBE,1,,,,,1,,
NIG-003364,2014,EZPEG,0,,,,,1,,
NIG-003365,2014,EFDAF,0,,,,,1,,
NIG-003366,2014,EMKLZ,0,,,,,1,,
NIG-003367,2014,EWLMM,1,,,,,1,,
NIG-003368,2014,EQBSI,1,,,,,1,,
NIG-003369,2014,EFYOE,1,,,,,1,,
NIG-003370,2014,EPIAR,1,,,,,1,,
NIG-003371,2014,EANFI,1,,,,,1,,
NIG-003372,2014,EMTUL,1,,,,,0,,
NIG-003373,2014,EBQTQ,1,,,,,1,,
NIG-003374,2014,EBTRC,0,,,,,1,,
NIG-003375,2014,EJURL,1,,,,,1,,
NIG-003376,2014,EFTUV,1,,,,,1,,
NIG-003377,2014,WWBJT,1,,,,,1,,
NIG-003378,2014,EHKHX,1,,,,,1,,
NIG-003379,2014,EINHB,1,,,,,1,,
NIG-003380,2014,EKPUU,0,,,,,0,,
NIG-003381,2014,EOVJY,0,,,,,0,,
NIG-003382,2014,EFORB,1,,,,,1,,
NIG-003383,2014,NTQXO,0,,,,,1,,
NIG-003384,2014,ETNYF,0,,,,,1,,
NIG-003385,2014,ETAJH,1,,,,,1,,
NIG-003386,2014,EXNSL,1,,,,,1,,
NIG-003387,2014,ESHTH,0,,,,,0,,
NIG-003388,2014,EZBWF,1,,,,,1,,
NIG-003389,2014,ENNHJ,1,,,,,1,,
NIG-003390,2014,EDMJW,1,,,,,1,,
NIG-003391,2014,ECKGW,1,,,,,1,,
NIG-003392,2014,EGGHF,1,,,,,1,,
NIG-003393,2014,EJFYX,0,,,,,1,,
NIG-003394,2014,EORJM,1,,,,,1,,
NIG-003395,2014,EQXYW,0,,,,,1,,
NIG-003396,2014,EHMNL,0,,,,,0,,
NIG-003397,2014,EQQBN,1,,,,,1,,
NIG-003398,2014,ELCNS,0,,,,,0,,
NIG-003399,2014,ERJPB,0,,,,,0,,
NIG-003400,2014,EPTUK,1,,,,,1,,
NIG-003401,2014,ETCCY,0,,,,,1,,
NIG-003402,2014,EVKYA,1,,,,,1,,
NIG-003403,2014,ENOTW,1,,,,,1,,
NIG-003404,2014,EERBA,0,,,,,1,,
