geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
PRY-000340,2012,1006020,,,,,,,,
PRY-000340,2012,1006020,,0,,,,,,
PRY-000341,2012,1006019,,0,,,,,,
PRY-000342,2012,1006018,,0,,,,,,
PRY-000343,2012,1006017,,0,,,,,,
PRY-000344,2012,1006015,,0,,,,,,
PRY-000345,2012,1006014,,0,,,,,,
PRY-000346,2012,1006013,,0,,,,,,
PRY-000347,2012,1006012,,0,,,,,,
PRY-000348,2012,1006011,,0,,,,,,
PRY-000349,2012,1006010,,0,,,,,,
PRY-000349,2012,1006010,,0,,,,,,
PRY-000350,2012,1006009,,0,,,,,,
PRY-000351,2012,1006008,,0,,,,,,
PRY-000352,2012,1006007,,0,,,,,,
PRY-000353,2012,1006006,,0,,,,,,
PRY-000354,2012,1006005,,0,,,,,,
PRY-000355,2012,1006003,,0,,,,,,
PRY-000356,2012,1006002,,0,,,,,,
PRY-000357,2012,1006001,,0,,,,,,
PRY-000358,2012,1016036,,0,,,,,,
PRY-000359,2012,1006088,,0,,,,,,
PRY-000360,2012,1006106,,0,,,,,,
PRY-000361,2012,1006099,,0,,,,,,
PRY-000362,2012,1006089,,0,,,,,,
PRY-000363,2012,1006087,,0,,,,,,
PRY-000364,2012,1006086,,0,,,,,,
PRY-000365,2012,1410028,,,,,,,,
PRY-000366,2012,1006085,,0,,,,,,
PRY-000367,2012,1006083,,0,,,,,,
PRY-000368,2012,1006082,,0,,,,,,
PRY-000369,2012,1006081,,0,,,,,,
PRY-000370,2012,1006080,,0,,,,,,
PRY-000371,2012,1006079,,0,,,,,,
PRY-000372,2012,1006077,,0,,,,,,
PRY-000373,2012,1006076,,0,,,,,,
PRY-000374,2012,1006075,,0,,,,,,
PRY-000375,2012,1006071,,0,,,,,,
PRY-000375,2012,1006071,,0,,,,,,
PRY-000376,2012,1006070,,0,,,,,,
PRY-000377,2012,1006069,,,,,,,,
PRY-000378,2012,1006068,,0,,,,,,
PRY-000379,2012,1006066,,0,,,,,,
PRY-000380,2012,1006065,,0,,,,,,
PRY-000381,2012,1006059,,0,,,,,,
PRY-000382,2012,1006058,,0,,,,,,
PRY-000383,2012,1006057,,0,,,,,,
PRY-000383,2012,1006057,,,,,,,,
PRY-000384,2012,1006056,,0,,,,,,
PRY-000385,2012,1006055,,,,,,,,
PRY-000385,2012,1006055,,0,,,,,,
PRY-000386,2012,1006054,,0,,,,,,
PRY-000387,2012,1006053,,0,,,,,,
PRY-000388,2012,1006052,,0,,,,,,
PRY-000389,2012,1006047,,0,,,,,,
PRY-000390,2012,1006046,,0,,,,,,
PRY-000390,2012,1006046,,0,,,,,,
PRY-000391,2012,1006045,,0,,,,,,
PRY-000392,2012,1006044,,0,,,,,,
PRY-000393,2012,1006043,,0,,,,,,
PRY-000394,2012,1006042,,0,,,,,,
PRY-000395,2012,1006040,,0,,,,,,
PRY-000396,2012,1006039,,0,,,,,,
PRY-000397,2012,1006038,,0,,,,,,
PRY-000398,2012,1006037,,0,,,,,,
PRY-000398,2012,1006037,,0,,,,,,
PRY-000399,2012,1006036,,0,,,,,,
PRY-000399,2012,1006036,,,,,,,,
PRY-000400,2012,1006035,,0,,,,,,
PRY-000401,2012,1006033,,0,,,,,,
PRY-000402,2012,1006032,,0,,,,,,
PRY-000403,2012,1006031,,0,,,,,,
PRY-000404,2012,1006027,,0,,,,,,
PRY-000405,2012,1006025,,0,,,,,,
PRY-000406,2012,1006024,,0,,,,,,
PRY-000406,2012,1006024,,1,,,,,,
PRY-000407,2012,1006023,,0,,,,,,
PRY-000408,2012,1006021,,0,,,,,,
PRY-000409,2012,1007043,,0,,,,,,
PRY-000410,2012,1007042,,,,,,,,
PRY-000411,2012,1007039,,0,,,,,,
PRY-000412,2012,1007040,,0,,,,,,
PRY-000413,2012,1007038,,0,,,,,,
PRY-000414,2012,1007037,,0,,,,,,
PRY-000415,2012,1007035,,,,,,,,
PRY-000416,2012,1007034,,0,,,,,,
PRY-000416,2012,1007034,,0,,,,,,
PRY-000417,2012,1007033,,0,,,,,,
PRY-000418,2012,1007031,,0,,,,,,
PRY-000419,2012,1007030,,0,,,,,,
PRY-000420,2012,1007029,,0,,,,,,
PRY-000421,2012,1007028,,0,,,,,,
PRY-000422,2012,1007027,,0,,,,,,
PRY-000423,2012,1007026,,0,,,,,,
PRY-000424,2012,1007025,,0,,,,,,
PRY-000425,2012,1007024,,0,,,,,,
